id;nazov;kategoria;verdikt;dovod;navrh_nahrady
babovka-z-mleteho-masa;Bábovka z mletého mäsa;Hlavné jedlo;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (6 krokov / 423 znakov, 23 % ingrediencií bez množstva);
babovka-zo-spaldovej-muky-s-cucoriedkami;Bábovka zo špaldovej múky s čučoriedkami;Snack;VYHODIT;"Slabý postup (3 krokov, 255 znakov; medián DB je 689)";
babovka;Bábovka;Snack;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (3 krokov / 489 znakov, 20 % ingrediencií bez množstva);
babsky-gulas;Babský guláš;Polievka;VYHODIT;4 surovín s výskytom najviac 2× v celej DB: 'Bravčové plece', 'Gulášové korenie', 'Masox';
baby-hokkaido-polievka;Baby Hokkaido polievka;Polievka;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (3 krokov / 1306 znakov, 0 % ingrediencií bez množstva);
baby-zemiakova-polievka;Baby zemiaková polievka;Polievka;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (3 krokov / 1187 znakov, 0 % ingrediencií bez množstva);
badambura;Badambura;Raňajky;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (9 krokov / 1550 znakov, 0 % ingrediencií bez množstva);
bageta-ostiepok;Bageta s oštiepkom a paradajkami;Raňajky;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (9 krokov / 927 znakov, 29 % ingrediencií bez množstva);
bageta-s-makom;Bageta s makom;Pečivo;VYHODIT;"Duplicita: identický postup aj sada ingrediencií ako ""Bageta s oštiepkom a paradajkami"" (id=bageta-ostiepok), ktorý zostáva (dlhší postup / úplnejšie dáta)";
bageta-vo-vajicku-so-sampinonmi;Bageta vo vajíčku so šampiňónmi;Raňajky;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (5 krokov / 389 znakov, 14 % ingrediencií bez množstva);
bagety-s-bylinkami;Bagety s bylinkami;Pečivo;VYHODIT;"Duplicita: identický postup aj sada ingrediencií ako ""Bageta s oštiepkom a paradajkami"" (id=bageta-ostiepok), ktorý zostáva (dlhší postup / úplnejšie dáta)";
baklazanova-natierka-baba-ghanoush-fotorecept;Baklažánová nátierka - Baba Ghanoush /fotorecept/;Raňajky;VYHODIT;3 surovín s výskytom najviac 2× v celej DB: 'Tahini pasta', 'Lístky chilly papričky sušenej', 'Olivový olej extra virgin';
baklazanova-pasteta-s-fetou;Baklažánová paštéta s Fetou;Nátierka;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (3 krokov / 883 znakov, 33 % ingrediencií bez množstva);
baklazanove-lasagne;Baklažánové lasagne;Hlavné jedlo;NAHRADIT;"Rozmarný variant medzinárodného jedla: ""Baklažánové lasagne""";Classic Lasagne (BBC Good Food)
baklazany-ako-hriby;Baklažány ako hríby;Raňajky;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (4 krokov / 607 znakov, 33 % ingrediencií bez množstva);
bananove-brownies-bez-muky-s-jahodovym-kremom;Banánové brownies bez múky s jahodovým krémom;Dezert;NAHRADIT;"Rozmarný variant medzinárodného jedla: ""Banánové brownies bez múky s jahodovým krémom""";Chocolate Brownies (BBC Good Food)
bananove-palacinkove-kusky;Banánové palacinkové kúsky (mini pancake bites);Snack;NAHRADIT;"Rozmarný variant medzinárodného jedla: ""Banánové palacinkové kúsky (mini pancake bites)""";Pancakes (BBC Good Food)
bananove-palacinky-lievance;Banánové palacinky - lievance;Snack;NAHRADIT;"Rozmarný variant medzinárodného jedla: ""Banánové palacinky - lievance""";Pancakes (BBC Good Food)
bananovo-arasidove-smoothie;Banánovo-arašidové smoothie;Nápoj;NAHRADIT;"Rozmarný variant medzinárodného jedla: ""Banánovo-arašidové smoothie"" + nepoužiteľný postup (1 krokov, 103 znakov)";Fruit Smoothie (BBC Good Food)
bananovo-makovy-bez-muky;Banánovo-makový, bez múky;Snack;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (7 krokov / 516 znakov, 14 % ingrediencií bez množstva);
bananovo-medovy-chlebik-s-orechami;Banánovo-medový chlebík s orechami;Raňajky;VYHODIT;3 surovín s výskytom najviac 2× v celej DB: 'Múka celozrna', 'Zrelé banány', 'Sekané orechy';
bananovo-orechove-ovalky-v-cokolade;Banánovo-orechové oválky v čokoláde;Dezert;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (3 krokov / 624 znakov, 17 % ingrediencií bez množstva);
bananovy-chlebik;Banánový chlebík;Dezert;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (3 krokov / 353 znakov, 0 % ingrediencií bez množstva);
bananovy-napoj;Banánový nápoj;Nápoj;VYHODIT;"Slabý postup (1 krokov, 171 znakov; medián DB je 689); 40 % ingrediencií (2/5) bez množstva – plánovač neurčí výživu ani nákup";
basmati-ryza-s-bylinkami;Basmati ryža s bylinkami;Príloha;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (6 krokov / 369 znakov, 12 % ingrediencií bez množstva);
bazalkova-limonada;Bazalková limonáda;Nápoj;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (4 krokov / 314 znakov, 25 % ingrediencií bez množstva);
bazantie-prsia-s-cviklovymi-rezancami;Bažantie prsia s cviklovými rezancami;Hlavné jedlo;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (3 krokov / 564 znakov, 25 % ingrediencií bez množstva);
bebe-keksovy-zakusok;BeBe keksový zákusok;Dezert;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (8 krokov / 571 znakov, 11 % ingrediencií bez množstva);
bezlepkove-kvaskove-briosky;Bezlepkové kváskové briošky;Pečivo;VYHODIT;3 surovín s výskytom najviac 2× v celej DB: 'Bread mix white', 'Bakery mix Liana', 'Vanilínový cukor Liana';
bezlepkove-lievance-s-javorovym-sirupom;Bezlepkové lievance s javorovým sirupom;Raňajky;VYHODIT;38 % ingrediencií (3/8) bez množstva – plánovač neurčí výživu ani nákup;
bezlepkove-makove-rozky;Bezlepkové makové rožky;Raňajky;VYHODIT;2 surovín s výskytom najviac 2× v celej DB: 'Múka bezlepková Promix Alfa Novalim', 'Tapiokový škrob';
bezlepkove-makovky;Bezlepkové makovky;Pečivo;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (8 krokov / 771 znakov, 18 % ingrediencií bez množstva);
bezlepkove-pernicky-s-naplnou-v-cokoladovej-poleve;Bezlepkové perníčky s náplňou v čokoládovej poleve;Dezert;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (4 krokov / 672 znakov, 25 % ingrediencií bez množstva);
bezlepkove-rozky-na-pripravu-hotdogov;Bezlepkové rožky na prípravu hotdogov;Pečivo;VYHODIT;2 surovín s výskytom najviac 2× v celej DB: 'Múka bezgluténová Promix ALFA', 'Tapiokový škrob';
bezlepkove-tvarohove-omeletky-s-ovocim;Bezlepkové tvarohové omeletky s ovocím;Dezert;NAHRADIT;"Rozmarný variant medzinárodného jedla: ""Bezlepkové tvarohové omeletky s ovocím"" + 40 % ingrediencií (4/10) bez množstva – plánovač neurčí výživu ani nákup; 2 surovín s výskytom najviac 2× v celej DB: 'Múka bezlepková Promix UNI', 'Krémový jemný tvaroh'";Omelette (BBC Good Food)
bezlepkovy-chlieb-na-palicke;Bezlepkový chlieb na paličke;Pečivo;VYHODIT;2 surovín s výskytom najviac 2× v celej DB: 'Múka bezgluténová Promix FORTE', 'Kefír';
bezlepkovy-chlieb-s-jogurtom;Bezlepkový chlieb s jogurtom;Pečivo;VYHODIT;3 surovín s výskytom najviac 2× v celej DB: 'Bread mix white Liana', 'Bread mix dark', 'Múka ryžová Liana';
bezlepkovy-kvaskovy-chlebik;Bezlepkový kváskový chlebík;Raňajky;VYHODIT;4 surovín s výskytom najviac 2× v celej DB: 'Bezlepkový kvások', 'Voda minerálna perlivá', 'Celé predcesto';
biele-zemle;Biele žemle;Pečivo;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (8 krokov / 982 znakov, 14 % ingrediencií bez množstva);
bielkovinove-palacinky;Bielkovinové palacinky;Raňajky;NAHRADIT;"Rozmarný variant medzinárodného jedla: ""Bielkovinové palacinky""";Pancakes (BBC Good Food)
biely-jogurt-s-vyprazanou-rebarborou-v-mede;Biely jogurt s vyprážanou rebarborou v mede;Snack;VYHODIT;2 surovín s výskytom najviac 2× v celej DB: 'Rebarbora', 'Granola';
bleskove-rohliky;Bleskové rohlíky;Snack;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (5 krokov / 723 znakov, 0 % ingrediencií bez množstva);
bobova-prazenica;Bôbová praženica;Raňajky;VYHODIT;"Slabý postup (5 krokov, 259 znakov; medián DB je 689); 40 % ingrediencií (2/5) bez množstva – plánovač neurčí výživu ani nákup";
bocikova-pasteta;Bôčiková paštéta;Hlavné jedlo;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (5 krokov / 772 znakov, 0 % ingrediencií bez množstva);
bolocke;Bolocke;Dezert;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (9 krokov / 1024 znakov, 27 % ingrediencií bez množstva);
bolonske-cestoviny-so-sosovicou;Bolonské cestoviny so šošovicou (vegetariánske);Cestoviny;VYHODIT;2 surovín s výskytom najviac 2× v celej DB: 'Rigatoni', 'Paradajky na pizzu';
bolonske-spagety;Boloňské špagety;Cestoviny;VYHODIT;40 % ingrediencií (6/15) bez množstva – plánovač neurčí výživu ani nákup;
borek;Börek;Raňajky;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (8 krokov / 2389 znakov, 15 % ingrediencií bez množstva);
borsc;Boršč;Polievka;VYHODIT;2 surovín s výskytom najviac 2× v celej DB: 'Nožina hoväzdia', 'Kapusta hlávková biela';
bosniaky-so-syrom-a-petrzlenovou-vnatou;Bosniaky so syrom a petržlenovou vňaťou;Príloha;VYHODIT;3 surovín s výskytom najviac 2× v celej DB: 'Trošku masla', 'Rozne semiačka', 'Petrž.vnat';
bravcova-huspenina;Bravčová huspenina;Hlavné jedlo;VYHODIT;4 surovín s výskytom najviac 2× v celej DB: 'Koleno bravčove', 'Bravčový jazyk', 'Bravčový rypák';
bravcova-panenka-na-ratatouille-so-zemiakmi;Bravčová panenka na ratatouille so zemiakmi;Hlavné jedlo;NAHRADIT;"Rozmarný variant medzinárodného jedla: ""Bravčová panenka na ratatouille so zemiakmi"" + 2 surovín s výskytom najviac 2× v celej DB: 'Mrazené hríby', 'Smotana na šľahanie 30 %'";Ratatouille (BBC Good Food)
bravcova-panenka-s-horcicovou-omackou;Bravčová panenka s horčicovou omáčkou;Hlavné jedlo;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (5 krokov / 1295 znakov, 14 % ingrediencií bez množstva);
bravcove-kare-na-hubach;Bravčové karé na hubách;Hlavné jedlo;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (9 krokov / 1197 znakov, 30 % ingrediencií bez množstva);
bravcove-kare-s-jablkami-a-cibulou;Bravčové karé s jablkami a cibuľou;Hlavné jedlo;VYHODIT;"36 % ingrediencií (4/11) bez množstva – plánovač neurčí výživu ani nákup; 2 surovín s výskytom najviac 2× v celej DB: 'Karé bravčové vykostené', 'Syr eidam plátky'";
bravcove-maso-v-paradajkovej-omacke;Bravčové mäso v paradajkovej omáčke;Hlavné jedlo;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (4 krokov / 713 znakov, 25 % ingrediencií bez množstva);
bravcove-medailonky-na-vine-s-hrncekovou-knedlou;Bravčové medailónky na víne s hrnčekovou knedľou;Hlavné jedlo;PONECHAT;"Slovenské/domáce jedlo bez medzinárodnej predlohy; postup 3 krokov / 531 znakov";
bravcove-na-cibuli-so-slaninou;Bravčové mäso na cibuli so slaninou;Hlavné jedlo;VYHODIT;2 surovín s výskytom najviac 2× v celej DB: 'Bravčové údené mäso', 'Sterilizovaný chren';
bravcove-na-kreolsky-sposob;Bravčové na kreolský spôsob;Hlavné jedlo;VYHODIT;3 surovín s výskytom najviac 2× v celej DB: 'Bravčové líčka', 'Exotická zmes', 'Korenie kolombo';
bravcove-na-paprike-so-smotanou;Bravčové na paprike so smotanou;Hlavné jedlo;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (6 krokov / 576 znakov, 27 % ingrediencií bez množstva);
bravcove-na-slanine-so-sosovicou;Bravčové na slanine so šošovicou;Hlavné jedlo;VYHODIT;40 % ingrediencií (4/10) bez množstva – plánovač neurčí výživu ani nákup;
bravcove-peceny-s-cesnakom-a-rozmarinom;Bravčové pečené s cesnakom a rozmarínom;Hlavné jedlo;VYHODIT;38 % ingrediencií (3/8) bez množstva – plánovač neurčí výživu ani nákup;
bravcove-rezne-na-cibuli;Bravčové rezne na cibuli;Hlavné jedlo;VYHODIT;5 surovín s výskytom najviac 2× v celej DB: 'Omáčka čili ostrá', 'Sušené malé čili', 'Rastlinný slnečnicový olej';
bravcove-rezne-na-salvii;Bravčové rezne na šalvii;Hlavné jedlo;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (3 krokov / 310 znakov, 18 % ingrediencií bez množstva);
bravcove-rezne-s-hubovou-omackou;Bravčové rezne s hubovou omáčkou;Hlavné jedlo;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (3 krokov / 469 znakov, 0 % ingrediencií bez množstva);
bravcove-so-slivkami-a-rozmarinom;Bravčové so slivkami a rozmarínom;Hlavné jedlo;VYHODIT;"Duplicita: identický postup aj sada ingrediencií ako ""Bravčové pečené s cesnakom a rozmarínom"" (id=bravcove-peceny-s-cesnakom-a-rozmarinom), ktorý zostáva (dlhší postup / úplnejšie dáta)";
bravcove-so-zelim-a-zemiakmi;Bravčové so zelím a zemiakmi;Hlavné jedlo;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (5 krokov / 415 znakov, 0 % ingrediencií bez množstva);
bravcove-so-zemiakmi-a-majoranom;Bravčové so zemiakmi a majoránom;Hlavné jedlo;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (3 krokov / 607 znakov, 14 % ingrediencií bez množstva);
bravcove-sote-so-zeleninou;Bravčové soté so zeleninou;Hlavné jedlo;VYHODIT;3 surovín s výskytom najviac 2× v celej DB: 'Bravčová ladvina', 'Pretlak paradakový domáci', 'Paradajkový lekvár';
bravcove-srdcia-s-brokolicou;Bravčové srdcia s brokolicou;Hlavné jedlo;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (3 krokov / 395 znakov, 0 % ingrediencií bez množstva);
bravcove-stehno-na-kmine-s-hranolcekami-a-ryzou;Bravčové stehno na kmíne s hranolčekami a ryžou;Hlavné jedlo;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (6 krokov / 964 znakov, 14 % ingrediencií bez množstva);
bravcove-stehno-na-paprike;Bravčové stehno na paprike;Hlavné jedlo;VYHODIT;4 surovín s výskytom najviac 2× v celej DB: 'Rohy baranie sterilizované', 'Mrazená kukurica', 'Zavárané slivky';
bravcove-stehno-na-razni-po-mexicky;Bravčové stehno na ražni po mexicky;Hlavné jedlo;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (5 krokov / 466 znakov, 12 % ingrediencií bez množstva);
bravcovy-eintopf-s-porom;Bravčový eintopf s pórom;Hlavné jedlo;VYHODIT;36 % ingrediencií (4/11) bez množstva – plánovač neurčí výživu ani nákup;
bravcovy-gulas-so-zemiakmi;Bravčový guláš so zemiakmi;Hlavné jedlo;VYHODIT;36 % ingrediencií (5/14) bez množstva – plánovač neurčí výživu ani nákup;
bravcovy-gulas-so-zemiakovo-rascovym-chlebom;Bravčový guláš so zemiakovo-rascovým chlebom;Pečivo;PONECHAT;"Slovenské/domáce jedlo bez medzinárodnej predlohy; postup 3 krokov / 710 znakov";
bravcovy-gulas;Bravčový guláš;Hlavné jedlo;PONECHAT;"Slovenské/domáce jedlo bez medzinárodnej predlohy; postup 3 krokov / 474 znakov";
bravcovy-rezen-viedensky;Bravčový rezeň viedenským spôsobom;Hlavné jedlo;PONECHAT;"Slovenské/domáce jedlo bez medzinárodnej predlohy; postup 9 krokov / 737 znakov";
brazilska-rybia-polievka;Brazílska rybia polievka;Polievka;VYHODIT;3 surovín s výskytom najviac 2× v celej DB: 'Filety z bielej ryby', 'Veľká farebná mäsitá paprika', 'Rybí vývar';
brioska;Brioška;Pečivo;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (7 krokov / 1982 znakov, 8 % ingrediencií bez množstva);
brokolica-s-cestovinou-a-syrom;Brokolica s cestovinou a syrom;Cestoviny;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (10 krokov / 831 znakov, 23 % ingrediencií bez množstva);
brokolicova-kremova-polievka;Brokolicová krémová polievka;Polievka;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (3 krokov / 483 znakov, 29 % ingrediencií bez množstva);
brokolicove-kuracie-rezne;Brokolicové kuracie rezne;Hlavné jedlo;VYHODIT;2 surovín s výskytom najviac 2× v celej DB: 'Malá brokolica', 'Plesňový syr';
brokolicovo-karfiolova-polievka-bezlepkova;Brokolicovo-karfiolová polievka bezlepková;Polievka;VYHODIT;3 surovín s výskytom najviac 2× v celej DB: 'Citrónový tymian', 'Uvarený karfiol', 'Uvarená brokolica';
brokolicovy-kuskus-s-pecenou-zeleninou-a-kozim-syrom;Brokolicový „kuskus“ s pečenou zeleninou a kozím syrom;Šalát;NAHRADIT;"Rozmarný variant medzinárodného jedla: ""Brokolicový „kuskus“ s pečenou zeleninou a kozím syrom""";Couscous Salad (BBC Good Food)
broskynova-limonada;Broskyňová limonáda;Nápoj;VYHODIT;"Duplicita: identický postup aj sada ingrediencií ako ""Bazalková limonáda"" (id=bazalkova-limonada), ktorý zostáva (dlhší postup / úplnejšie dáta)";
broskynove-smoothie;Broskyňové smoothie;Nápoj;NAHRADIT;"Rozmarný variant medzinárodného jedla: ""Broskyňové smoothie"" + slabý postup (1 krokov, 173 znakov; medián DB je 689)";Fruit Smoothie (BBC Good Food)
broskynovy-kolac;Broskyňový koláč;Dezert;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (7 krokov / 545 znakov, 0 % ingrediencií bez množstva);
brownies-bez-vajec;Brownies bez vajec;Dezert;NAHRADIT;"Rozmarný variant medzinárodného jedla: ""Brownies bez vajec""";Chocolate Brownies (BBC Good Food)
bruschetta-s-vajcom;Bruschetta s vajcom;Raňajky;NAHRADIT;"Rozmarný variant medzinárodného jedla: ""Bruschetta s vajcom"" + 2 surovín s výskytom najviac 2× v celej DB: 'Konzervovaná kukurica', 'Bazalkové čerstvé lístky'";Bruschetta (BBC Good Food)
brutalna-prazenica;Brutálna praženica;Raňajky;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (3 krokov / 398 znakov, 0 % ingrediencií bez množstva);
bryndzova-natierka;Bryndzová nátierka;Nátierka;VYHODIT;"Slabý postup (3 krokov, 184 znakov; medián DB je 689)";
bryndzove-gulky-s-cviklovym-salatom;Bryndzové guľky s cviklovým šalátom;Hlavné jedlo;VYHODIT;"38 % ingrediencií (6/16) bez množstva – plánovač neurčí výživu ani nákup; 2 surovín s výskytom najviac 2× v celej DB: 'Koreňový zeler', 'Hrášok s mrkvou sterilizovaný'";
bryndzove-halusky;Bryndzové halušky so slaninou;Hlavné jedlo;PONECHAT;"Slovenské/domáce jedlo bez medzinárodnej predlohy; postup 3 krokov / 391 znakov";
bryndzove-pagace;Bryndzové pagáče;Pečivo;VYHODIT;4 surovín s výskytom najviac 2× v celej DB: 'Jogurt biely smotanový', 'Plnka:', 'Jogurt biely smotanový';
bryndzove-pirohy;Bryndzové pirohy;Hlavné jedlo;PONECHAT;"Slovenské/domáce jedlo bez medzinárodnej predlohy; postup 5 krokov / 1267 znakov";
brynzovy-sendvic-slaninka;Bryndzový sendvič so slaninkou;Raňajky;VYHODIT;"Slabý postup (3 krokov, 285 znakov; medián DB je 689)";
bucatini-s-mrkvou-a-hovadzim-maskom;Bucatini s mrkvou a hovädzím mäskom;Cestoviny;VYHODIT;3 surovín s výskytom najviac 2× v celej DB: 'Cestoviny bucatini', 'Pretlak', 'Fazuľa v paradajkovej omáčke';
buchty-s-tvarohom;Buchty s tvarohom;Hlavné jedlo;PONECHAT;"Slovenské/domáce jedlo bez medzinárodnej predlohy; postup 8 krokov / 966 znakov";
bulgur-s-pecenou-zeleninou;Bulgur s pečenou zeleninou;Príloha;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (12 krokov / 1732 znakov, 23 % ingrediencií bez množstva);
bulgur-so-zeleninou;Bulgur so zeleninou;Príloha;VYHODIT;"Duplicita: identický postup aj sada ingrediencií ako ""Bulgur s pečenou zeleninou"" (id=bulgur-s-pecenou-zeleninou), ktorý zostáva (dlhší postup / úplnejšie dáta)";
bylinkove-bravcove-kotlety;Bylinkové bravčové kotlety;Hlavné jedlo;VYHODIT;2 surovín s výskytom najviac 2× v celej DB: 'Bravčové kotlety', 'Farebné papriky';
bylinkovo-cesnakova-natierka-na-chlieb;Bylinkovo-cesnaková nátierka na chlieb;Nátierka;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (3 krokov / 477 znakov, 33 % ingrediencií bez množstva);
caesar-salat-s-opecenym-kuracim-steakom;Caesar šalát s opečeným kuracím steakom;Šalát;NAHRADIT;"Rozmarný variant medzinárodného jedla: ""Caesar šalát s opečeným kuracím steakom"" + 2 surovín s výskytom najviac 2× v celej DB: 'Granulovaná cibuľa', 'Sardelky'";Caesar Salad (BBC Good Food)
cakankovy-salat-s-kuracim-masom;Čakankový šalát s kuracím mäsom;Šalát;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (4 krokov / 675 znakov, 20 % ingrediencií bez množstva);
calzone;Calzone so šunkou a syrom;Hlavné jedlo;VYHODIT;35 % ingrediencií (7/20) bez množstva – plánovač neurčí výživu ani nákup;
cannelloni-so-spenatom-a-piniovymi-orieskami;Cannelloni so špenátom a píniovými orieškami;Cestoviny;VYHODIT;2 surovín s výskytom najviac 2× v celej DB: 'Cestovinové pláty', 'Miešaný šalát';
cannelloni;Cannelloni;Cestoviny;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (14 krokov / 939 znakov, 25 % ingrediencií bez množstva);
capellini-s-bazalkou-a-paradajkami;Capellini s bazalkou a paradajkami;Cestoviny;VYHODIT;2 surovín s výskytom najviac 2× v celej DB: 'Bazalkové listy', 'Cestovina Capellini';
caprese-salat;Caprese šalát;Šalát;VYHODIT;43 % ingrediencií (3/7) bez množstva – plánovač neurčí výživu ani nákup;
celozrnne-dalamanky;Celozrnné dalamánky;Pečivo;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (3 krokov / 1224 znakov, 21 % ingrediencií bez množstva);
celozrnne-palacinky-s-bananom;Celozrnné palacinky s banánom;Raňajky;NAHRADIT;"Rozmarný variant medzinárodného jedla: ""Celozrnné palacinky s banánom"" + 2 surovín s výskytom najviac 2× v celej DB: 'Ovsené otruby', 'Surové vajíčka'";Pancakes (BBC Good Food)
celozrnne-palacinky-so-skoricou;Celozrnné palacinky so škoricou;Raňajky;VYHODIT;"Duplicita: identický postup aj sada ingrediencií ako ""Celozrnné palacinky s banánom"" (id=celozrnne-palacinky-s-bananom), ktorý zostáva (dlhší postup / úplnejšie dáta)";
