surovina_en;surovina_sk;dostupnost_sk;nahrada;poznamka_pomer;pocet_receptov_v_themealdb
shortcrust pastry;krehké cesto;mrazené alebo domáce;250 g múky + 125 g masla + 1 žĺtok + soľ;domáce vyjde lacnejšie;6
shortening;stužený tuk;bežne;Hera / Ceres;1:1;6
sirloin steak;roštenka;väčšie reťazce;sviečkovica alebo vysoká roštenka;priamy ekvivalent;6
star anise;badián;bežne;—;priamy ekvivalent;6
tamarind paste;tamarindová pasta;ázijské obchody;limetková šťava + 1 ČL hnedého cukru;na 1 PL pasty;6
whipping cream;smotana na šľahanie;bežne;—;33 %;6
birds-eye chillies;thajské čili;ázijské obchody;čili papričky;sú menej ostré, pridaj viac;5
butter beans;maslová fazuľa;väčšie reťazce;veľká biela fazuľa;1:1;5
butternut squash;maslová tekvica;sezónne;tekvica hokkaido;1:1;5
canola oil;repkový olej;bežne;—;priamy ekvivalent;5
custard;vanilkový krém;nedostupné hotové;vanilkový puding Dr. Oetker uvarený hustejšie;polovičné množstvo mlieka oproti návodu;5
digestive biscuits;celozrnné sušienky;nedostupné pod týmto názvom;BeBe Dobré ráno alebo Zlaté celozrnné;1:1 na drvený základ;5
english mustard;anglická horčica;špecializované;plnotučná horčica + štipka kurkumy;anglická je výrazne ostrejšia, dávaj menej;5
ground nut oil;arašidový olej;špecializované;repkový alebo slnečnicový olej;1:1;5
king prawns;veľké krevety;bežne mrazené;—;priamy ekvivalent;5
lemongrass stalks;citrónová tráva;väčšie reťazce;citrónová kôra + zázvor;na 1 stonku;5
mascarpone;mascarpone;bežne;—;priamy ekvivalent;5
molasses;melasa;špecializované;tmavý trstinový sirup;1:1;5
paella rice;ryža na paellu;špecializované;ryža arborio (rizotová);1:1;5
palm sugar;palmový cukor;ázijské obchody;kokosový alebo trstinový cukor;1:1;5
strong white bread flour;chlebová múka;väčšie reťazce;hladká múka T650 alebo pizza múka;pri kysnutom ceste rozdiel v lepku je citeľný;5
swede;kvaka;bežne sezónne;kaleráb alebo repa;1:1;5
sweet chilli sauce;sladká čili omáčka;bežne;—;priamy ekvivalent;5
all-purpose seasoning;univerzálne korenie;bežne;Vegeta alebo grilovacie korenie;podľa chuti;4
broad beans;bôb;sezónne/mrazené;mrazený hrášok;chuť jemnejšia;4
celeriac;zeler buľvový;bežne;—;priamy ekvivalent;4
clams;mušle vénuška;ťažko dostupné;mrazené slávky;1:1;4
dark brown soft sugar;tmavý hnedý cukor;väčšie reťazce;hnedý trstinový cukor + 1 ČL melasy;na 100 g;4
dried white beans;sušená biela fazuľa;bežne;fazuľa z konzervy;1 diel sušenej = 2,5 dielu z konzervy;4
filo pastry;filo cesto;väčšie reťazce, mrazené;—;potieraj maslom medzi listami;4
galangal;galgant;ťažko dostupné;čerstvý zázvor;"1:1; galgant je citrusovejší";4
gruyère;gruyère;špecializované;ementál alebo zrejúca gouda;1:1;4
lemongrass;citrónová tráva;väčšie reťazce, mrazená/pasta;kôra z 1 citróna + kúsok zázvoru;na 1 stonku;4
mussels;slávky;väčšie reťazce, mrazené;—;priamy ekvivalent;4
noodles;rezance;bežne;—;podľa receptu ryžové alebo pšeničné;4
passata;pasírované paradajky;bežne;—;priamy ekvivalent;4
pecan nuts;pekanové orechy;väčšie reťazce;vlašské orechy;1:1;4
ricotta;ricotta;väčšie reťazce, nie vždy;jemný tvaroh + 2 PL smotany na 250 g;konzistencia sa priblíži;4
rose water;ružová voda;špecializované;vanilkový extrakt;nie je to isté, ale nezkazí;4
russet potato;múčnaté zemiaky;bežne;zemiaky typu C (varný typ B/C);na kašu a pečenie;4
salt cod;solená treska;špecializované;mrazená treska + nasolenie 12 h;opláchnuť pred varením;4
semolina;krupica;bežne;—;priamy ekvivalent;4
shiitake mushrooms;šitake;ázijské obchody, sušené;sušené hríby namočené;1:1 po namočení;4
single cream;smotana 18 %;nedostupné;smotana na varenie 10–12 %;1:1;4
smoked haddock;údená treska jednoškvrnná;nedostupné;údená makrela;výraznejšia chuť, dávaj menej;4
suet;hovädzí loj;nedostupné;stuhnuté maslo nastrúhané na hrubo, alebo Hera;1:1;4
tiger prawns;tigrie krevety;väčšie reťazce, mrazené;bežné mrazené krevety;priamy ekvivalent;4
vanilla pod;vanilkový lusk;drahý;vanilkový extrakt;1 lusk = 1 ČL extraktu;4
white fish;biela ryba;bežne;treska, pangasius, mintaj;priamy ekvivalent;4
cheddar;čedar;väčšie reťazce;eidam + trochu parmezánu na chuť;farba bude bledšia;0
