surovina_en;surovina_sk;pocet_receptov;naparuje_sa_na_kluc;oddelenie;kcal_100g;zdroj_zaznamu
cloves;klinčeky;7;klinčeky;Korenie a bylinky;274;existujuci
cannellini beans;biele fazule;7;biele fazule;Trvanlivé a konzervy;127;existujuci
curry powder;kari mleté;7;kari mlet;Korenie a bylinky;325;existujuci
garam masala;garam masala;7;garam masala;Trvanlivé a konzervy;350;existujuci
cinnamon stick;škorica;7;škorica;Korenie a bylinky;247;existujuci
green olives;zelené olivy;7;zelené oliv;Trvanlivé a konzervy;145;existujuci
ground pork;mleté bravčové;7;bravčov;Mäso a ryby;242;existujuci
chives;pažítka;7;pažítka;Zelenina a ovocie;30;existujuci
courgettes;cuketa;7;cuketa;Zelenina a ovocie;17;existujuci
warm water;voda;7;voda;Ostatné;0;existujuci
baguette;bageta;7;bageta;Pečivo;270;existujuci
condensed milk;kondenzované mlieko;7;kondenzované mlieko;Trvanlivé a konzervy;321;existujuci
raspberries;maliny;6;malin;Zelenina a ovocie;52;existujuci
puff pastry;lístkové cesto;6;lístkové cesto;Mrazené;380;existujuci
rocket;rukola;6;rukol;Zelenina a ovocie;25;existujuci
raw king prawns;krevety;6;krevet;Mäso a ryby;99;existujuci
coriander leaves;koriandrová vňať;6;koriandrová vňať;Korenie a bylinky;23;existujuci
salmon;losos;6;losos;Mäso a ryby;170;existujuci
chili powder;chilli prášok;6;chilli prášok;Korenie a bylinky;282;existujuci
rapeseed oil;repkový olej;6;olej;Oleje a tuky;884;existujuci
beetroot;červená repa;6;červená repa;Zelenina a ovocie;44;existujuci
chicken stock cube;bujón;6;bujón;Omáčky a dochucovadlá;240;existujuci
minced pork;mleté bravčové;6;bravčov;Mäso a ryby;242;existujuci
smoked paprika;údená paprika;6;údená paprika;Korenie a bylinky;282;existujuci
banana;banán;6;banán;Zelenina a ovocie;89;existujuci
vegetable stock cube;bujón;6;bujón;Omáčky a dochucovadlá;240;existujuci
coconut;kokos;6;kokos;Pečenie a sladké;660;existujuci
jalapeno;jalapeño;6;jalapeño;Zelenina a ovocie;29;existujuci
kidney beans;fazuľa;6;fazuľa;Trvanlivé a konzervy;110;existujuci
peanuts;arašidy;6;arašid;Orechy a semená;567;existujuci
strawberries;jahody;5;jahody;Zelenina a ovocie;32;existujuci
ground nutmeg;muškátový oriešok;5;muškátový oriešok;Korenie a bylinky;525;existujuci
lime juice;limetka;5;limetk;Zelenina a ovocie;30;existujuci
bean sprouts;klíčky;5;klíčky;Zelenina a ovocie;30;existujuci
ground coriander;koriander;5;koriander;Korenie a bylinky;23;existujuci
beef brisket;hovädzie;5;hovädzie;Mäso a ryby;250;existujuci
red pepper flakes;čili vločky;5;čili vločky;Korenie a bylinky;318;existujuci
lard;masť;5;masť;Oleje a tuky;900;existujuci
broccoli;brokolica;5;brokolica;Zelenina a ovocie;34;existujuci
marjoram;majoránka;5;majoránk;Korenie a bylinky;271;existujuci
cheddar cheese;čedar;5;čedar;Mliečne a vajcia;400;existujuci
balsamic vinegar;balzamikový ocot;5;ocot;Omáčky a dochucovadlá;20;existujuci
apple cider vinegar;jablčný ocot;5;jablčný ocot;Omáčky a dochucovadlá;22;existujuci
lemons;citrón;5;citrón;Zelenina a ovocie;29;existujuci
dry white wine;víno;5;víno;Nápoje;85;existujuci
jasmine rice;jazmínová ryža;5;jazmínová ryža;Cestoviny a ryža;360;existujuci
granulated sugar;cukor;5;cukor;Pečenie a sladké;400;existujuci
shortening;hera;5;hera;Oleje a tuky;900;existujuci
ham;šunka;5;šunka;Mäso a ryby;145;existujuci
chickpeas;cícer;5;cícer;Trvanlivé a konzervy;139;existujuci
shortcrust pastry;krehké cesto;5;krehké cesto;Mrazené;450;NOVY
parmesan cheese;parmezán;5;parmezán;Mliečne a vajcia;400;existujuci
yellow pepper;paprika;5;paprika;Zelenina a ovocie;31;existujuci
dried mint;mäta;5;mäta;Zelenina a ovocie;44;existujuci
apples;jablko;5;jablk;Zelenina a ovocie;52;existujuci
spaghetti;spaghetti;5;spaghetti;Cestoviny a ryža;360;existujuci
strong white bread flour;chlebová múka;5;múka;Pečenie a sladké;364;existujuci
blackberries;černice;4;černic;Zelenina a ovocie;43;existujuci
sweet chilli sauce;sladká chilli omáčka;4;chilli omáčka;Omáčky a dochucovadlá;240;existujuci
clear honey;med;4;med;Pečenie a sladké;304;existujuci
celeriac;zeler;4;zeler;Zelenina a ovocie;16;existujuci
challots;šalotka;4;šalotk;Zelenina a ovocie;72;existujuci
red cabbage;červené zelie;4;červené zelie;Zelenina a ovocie;31;existujuci
caraway seed;rasca;4;rasca;Korenie a bylinky;375;existujuci
whole milk;mlieko;4;mlieko;Mliečne a vajcia;64;existujuci
cream;smotana;4;smotana;Mliečne a vajcia;250;existujuci
chicken legs;kuracie stehná;4;kuracie steh;Mäso a ryby;209;existujuci
sauerkraut;kyslá kapusta;4;kapusta;Zelenina a ovocie;25;existujuci
white cabbage;kapusta;4;kapusta;Zelenina a ovocie;25;existujuci
bicarbonate of soda;sóda bikarbóna;4;sóda bikarbóna;Pečenie a sladké;0;NOVY
swede;kvaka;4;kvaka;Zelenina a ovocie;37;NOVY
kale;kel;4;kel;Zelenina a ovocie;49;existujuci
white vinegar;ocot;4;ocot;Omáčky a dochucovadlá;20;existujuci
canola oil;repkový olej;4;olej;Oleje a tuky;884;existujuci
yogurt;jogurt;4;jogurt;Mliečne a vajcia;61;existujuci
ground cardomom;kardamóm;4;kardamóm;Korenie a bylinky;311;existujuci
semolina;krupica;4;krupica;Cestoviny a ryža;360;existujuci
dijon mustard;horčica;4;horčica;Omáčky a dochucovadlá;66;existujuci
squid;kalamáre;4;kalamáre;Mäso a ryby;92;existujuci
sage;šalvia;4;šalvia;Korenie a bylinky;315;existujuci
brown lentils;šošovica;4;šošovic;Trvanlivé a konzervy;352;existujuci
filo pastry;filo cesto;4;filo cesto;Mrazené;310;NOVY
whipping cream;šľahačka;4;šľahačka;Mliečne a vajcia;340;existujuci
butternut squash;maslová tekvica;4;maslová tekvica;Zelenina a ovocie;45;existujuci
coconut cream;kokosová smotana;4;kokosová smotana;Trvanlivé a konzervy;230;existujuci
muscovado sugar;hnedý cukor;4;hnedý cukor;Pečenie a sladké;380;existujuci
golden caster sugar;cukor;4;cukor;Pečenie a sladké;400;existujuci
instant yeast;droždie;4;droždie;Pečenie a sladké;325;existujuci
cold water;voda;4;voda;Ostatné;0;existujuci
powdered sugar;práškový cukor;4;cukor;Pečenie a sladké;400;existujuci
brandy;brandy;4;brandy;Nápoje;250;existujuci
maple syrup;javorový sirup;3;sirup;Omáčky a dochucovadlá;260;existujuci
vanilla sugar;vanilkový cukor;3;vanilkový cukor;Pečenie a sladké;390;existujuci
ground allspice;nové korenie;3;korenie;Korenie a bylinky;0;existujuci
ground turmeric;kurkuma;3;kurkuma;Korenie a bylinky;354;existujuci
white fish;biela ryba;3;biela ryba;Mäso a ryby;90;existujuci
turmeric powder;kurkuma;3;kurkuma;Korenie a bylinky;354;existujuci
red potatoes;zemiaky;3;zemiak;Zelenina a ovocie;77;existujuci
onion salt;cibuľový prášok;3;cibuľový prášok;Trvanlivé a konzervy;340;existujuci
diced tomatoes;paradajky v konzerve;3;paradajky v konzerve;Trvanlivé a konzervy;20;NOVY
pork shoulder;bravčové plece;3;bravčov;Mäso a ryby;242;existujuci
soya bean;sójové bôby;3;sójové bôby;Zelenina a ovocie;141;NOVY
celery salt;soľ;3;soľ;Korenie a bylinky;0;existujuci
sake;sake;3;sake;Nápoje;134;NOVY
chicken wings;kuracie krídla;3;kura;Mäso a ryby;239;existujuci
lamb loin chops;jahňacie kotlety;3;jahňacie;Mäso a ryby;258;NOVY
pork chops;bravčové kotlety;3;bravčov;Mäso a ryby;242;existujuci
codfish bulljaw;treska;3;treska;Mäso a ryby;82;NOVY
freshly chopped parsley;petržlenová vňať;3;petržlen;Zelenina a ovocie;36;existujuci
lamb shoulder;jahňacie plece;3;jahňacie;Mäso a ryby;258;NOVY
ground black pepper;čierne korenie;3;korenie;Korenie a bylinky;0;existujuci
butter beans;maslová fazuľa;3;fazuľa;Trvanlivé a konzervy;110;existujuci
pita bread;pita;3;pita;Pečivo;275;existujuci
fish stock;rybí vývar;3;vývar;Ostatné;4;existujuci
turnips;repa;3;repa;Zelenina a ovocie;43;existujuci
capers;kaparky;3;kaparky;Trvanlivé a konzervy;23;existujuci
oats;ovsené vločky;3;ovsené vloč;Cestoviny a ryža;389;existujuci
chopped onion;cibuľa;3;cibuľa;Zelenina a ovocie;40;existujuci
sushi rice;ryža;3;ryža;Cestoviny a ryža;360;existujuci
squash;tekvica;3;tekvica;Zelenina a ovocie;26;NOVY
macaroni;cestoviny;3;cestoviny;Cestoviny a ryža;360;existujuci
boiling water;voda;3;voda;Ostatné;0;existujuci
king prawns;krevety;3;krevet;Mäso a ryby;99;existujuci
roasted peanut;arašidy;3;arašid;Orechy a semená;567;existujuci
dried white beans;biele fazule;3;biele fazule;Trvanlivé a konzervy;127;existujuci
sichuan pepper;sečuánske korenie;3;sečuánske korenie;Korenie a bylinky;320;existujuci
tuna;tuniak;3;tuniak;Mäso a ryby;116;existujuci
peanut oil;arašidový olej;3;arašidový olej;Oleje a tuky;884;NOVY
fennel seeds;feniklové semienka;3;feniklové semien;Korenie a bylinky;345;existujuci
pine nuts;píniové oriešky;3;píniové oriešky;Orechy a semená;673;existujuci
red chilli flakes;čili vločky;3;čili vločky;Korenie a bylinky;318;existujuci
ricotta;ricotta;3;ricott;Mliečne a vajcia;174;existujuci
lentils;šošovica;3;šošovic;Trvanlivé a konzervy;352;existujuci
thai green curry paste;kari pasta;3;kari pasta;Omáčky a dochucovadlá;100;existujuci
cornmeal;kukuričná múka;3;kukuričn;Cestoviny a ryža;357;existujuci
tapioca;tapioka;3;tapioka;Trvanlivé a konzervy;358;NOVY
breadfruit;chlebovníkový plod;3;chlebovníkový plod;Zelenina a ovocie;103;NOVY
desiccated coconut;kokos strúhaný;3;kokos strúh;Pečenie a sladké;660;existujuci
plantain;plantain;3;plantain;Zelenina a ovocie;122;NOVY
pecan nuts;pekanové orechy;3;pekanové;Orechy a semená;691;existujuci
cocoa powder;kakao;3;kakao;Pečenie a sladké;228;existujuci
dried fruit;sušené ovocie;3;sušené ovocie;Trvanlivé a konzervy;300;existujuci
black pudding;krvavnica;2;krvavnica;Mäso a ryby;379;NOVY
clotted cream;clotted cream;2;clotted cream;Mliečne a vajcia;586;NOVY
red curry paste;kari pasta;2;kari pasta;Omáčky a dochucovadlá;100;existujuci
banana leaves;banánové listy;2;banán;Zelenina a ovocie;89;existujuci
fish fillet;biela ryba;2;biela ryba;Mäso a ryby;90;existujuci
hummus;hummus;2;hummus;Trvanlivé a konzervy;166;existujuci
goats cheese;kozí syr;2;syr;Mliečne a vajcia;350;existujuci
naan bread;naan;2;naan;Pečivo;310;existujuci
hot chilli powder;chilli prášok;2;chilli prášok;Korenie a bylinky;282;existujuci
natural yoghurt;jogurt;2;jogurt;Mliečne a vajcia;61;existujuci
barbeque sauce;barbecue;2;barbecue;Omáčky a dochucovadlá;160;existujuci
coconut oil;kokosový olej;2;kokosový olej;Oleje a tuky;862;existujuci
fennel;fenikel;2;fenikel;Trvanlivé a konzervy;345;existujuci
daikon radish;reďkev;2;reďkev;Zelenina a ovocie;16;existujuci
goose fat;husacia masť;2;husacia masť;Trvanlivé a konzervy;900;existujuci
sirloin steak;roštenka;2;roštenka;Mäso a ryby;250;existujuci
beer;pivo;2;pivo;Nápoje;43;existujuci
savoy cabbage;kel;2;kel;Zelenina a ovocie;49;existujuci
dill pickles;nakladané uhorky;2;nakladané uhorky;Trvanlivé a konzervy;12;existujuci
sesame seed burger buns;žemľa;2;žemľa;Pečivo;280;existujuci
peppercorns;čierne korenie;2;korenie;Korenie a bylinky;0;existujuci
prunes;sušené slivky;2;sušené slivky;Zelenina a ovocie;240;existujuci
pork back ribs;bravčové rebrá;2;bravčov;Mäso a ryby;242;existujuci
dried apricots;sušené marhule;2;marhule;Zelenina a ovocie;48;existujuci
pickle juice;nálev z uhoriek;2;nálev z uhoriek;Trvanlivé a konzervy;5;NOVY
chinese five spice powder;päťkorenie;2;korenie;Korenie a bylinky;0;existujuci
ginger paste;zázvor;2;zázvor;Zelenina a ovocie;80;existujuci
chicken liver;kuracia pečeň;2;kuracia pečeň;Mäso a ryby;119;existujuci
passata;pasírované paradajky;2;paradajk;Zelenina a ovocie;18;existujuci
quinoa;quinoa;2;quinoa;Cestoviny a ryža;368;existujuci
orange juice;pomarančový džús;2;pomarančový džús;Nápoje;45;existujuci
new potatoes;zemiaky;2;zemiak;Zelenina a ovocie;77;existujuci
ground clove;klinčeky;2;klinčeky;Korenie a bylinky;274;existujuci
russet potato;zemiaky;2;zemiak;Zelenina a ovocie;77;existujuci
conchs;morský slimák;2;morský slimák;Mäso a ryby;130;NOVY
corned beef;hovädzie;2;hovädzie;Mäso a ryby;250;existujuci
small potatoes;zemiaky;2;zemiak;Zelenina a ovocie;77;existujuci
garlic sauce;cesnaková omáčka;2;cesnak;Zelenina a ovocie;149;existujuci
shredded mexican cheese;syr;2;syr;Mliečne a vajcia;350;existujuci
swiss cheese;ementál;2;ementál;Mliečne a vajcia;380;existujuci
fennel bulb;fenikel;2;fenikel;Trvanlivé a konzervy;345;existujuci
ghee;ghí;2;ghí;Oleje a tuky;900;existujuci
duck legs;kačacie;2;kačacie;Mäso a ryby;337;NOVY
sweet smoked paprika;údená paprika;2;údená paprika;Korenie a bylinky;282;existujuci
summer savoury;saturejka;2;saturejka;Korenie a bylinky;270;existujuci
noodles;rezance;2;rezance;Cestoviny a ryža;370;existujuci
cassava;maniok;2;maniok;Zelenina a ovocie;160;NOVY
red pepper paste;paprikový pretlak;2;paprik;Zelenina a ovocie;31;existujuci
broad beans;bôb;2;bôb;Zelenina a ovocie;88;existujuci
minced garlic;cesnak;2;cesnak;Zelenina a ovocie;149;existujuci
duck sauce;slivková omáčka;2;slivk;Zelenina a ovocie;46;existujuci
starch;škrob;2;škrob;Pečenie a sladké;381;existujuci
tahini paste;tahini;2;tahin;Omáčky a dochucovadlá;595;existujuci
sardines;sardinky;2;sardink;Mäso a ryby;208;existujuci
corn on the cob;kukurica;2;kukurica;Zelenina a ovocie;86;existujuci
jamón ibérico;prosciutto;2;prosciutto;Mäso a ryby;240;existujuci
tofu;tofu;2;tofu;Trvanlivé a konzervy;144;existujuci
mirin;mirin;2;mirin;Trvanlivé a konzervy;230;existujuci
gouda cheese;gouda;2;gouda;Mliečne a vajcia;356;existujuci
rice flour;ryžová múka;2;múka;Pečenie a sladké;364;existujuci
water chestnut;vodný gaštan;2;vodný gaštan;Trvanlivé a konzervy;97;NOVY
lemongrass stalks;citrónová tráva;2;citrón;Zelenina a ovocie;29;existujuci
lasagne sheets;lasagne plát;2;lasagne plát;Cestoviny a ryža;355;existujuci
mincemeat;mincemeat náplň;2;mincemeat náplň;Pečenie a sladké;274;NOVY
napa cabbage;čínska kapusta;2;kapusta;Zelenina a ovocie;25;existujuci
cilantro leaves;koriandrová vňať;2;koriandrová vňať;Korenie a bylinky;23;existujuci
lemon zest;citrónová kôra;2;citrónová kôra;Korenie a bylinky;335;existujuci
flank steak;hovädzie;2;hovädzie;Mäso a ryby;250;existujuci
cider vinegar;jablčný ocot;2;jablčný ocot;Omáčky a dochucovadlá;22;existujuci
pecorino;pecorino;2;pecorino;Mliečne a vajcia;390;existujuci
bramley apples;jablko;2;jablk;Zelenina a ovocie;52;existujuci
asparagus;špargľa;2;šparg;Zelenina a ovocie;20;existujuci
bamboo shoot;bambusové výhonky;2;bambusové výhonky;Trvanlivé a konzervy;20;NOVY
hispi (sweetheart) cabbage;kapusta;2;kapusta;Zelenina a ovocie;25;existujuci
vermicelli pasta;rezance;2;rezance;Cestoviny a ryža;370;existujuci
vermicelli rice noodles;ryžové rezance;2;rezance;Cestoviny a ryža;370;existujuci
zucchini;cuketa;2;cuketa;Zelenina a ovocie;17;existujuci
cocoa;kakao;2;kakao;Pečenie a sladké;228;existujuci
jersey royal potatoes;zemiaky;2;zemiak;Zelenina a ovocie;77;existujuci
roasted pepper;paprika;2;paprika;Zelenina a ovocie;31;existujuci
linguine pasta;linguine;2;linguine;Cestoviny a ryža;360;existujuci
brown rice noodle;ryžové rezance;2;rezance;Cestoviny a ryža;370;existujuci
chicken drumsticks;kuracie stehná;2;kuracie steh;Mäso a ryby;209;existujuci
tahini;tahini;2;tahin;Omáčky a dochucovadlá;595;existujuci
sweet potatoes;batát;2;batát;Zelenina a ovocie;90;existujuci
brown rice;hnedá ryža;2;hnedá ryža;Cestoviny a ryža;360;existujuci
