id;nazov_teraz;kategoria;kanonicke_jedlo;zdroj;zdroj_url;porcie;kcal_na_porciu;stav_url;ako_dohladat
gnocchi-s-hovadzim-ragu;Gnocchi s hovädzím ragú;Hlavné jedlo;Potato Gnocchi;BBC Good Food;;;;dohľadať;bbcgoodfoodme.com potato gnocchi recipe
gnocchi-so-spenatom-a-syrom;Gnocchi so špenátom a syrom;Cestoviny;Potato Gnocchi;BBC Good Food;;;;dohľadať;bbcgoodfoodme.com potato gnocchi recipe
grecke-tzatziki-salatove-osviezenie-z-uhoriek-a-jogurtu;Grécke tzatziki, šalátové osvieženie z uhoriek a jogurtu;Šalát;Tzatziki;TheMealDB;;;;dohľadať;bbcgoodfoodme.com tzatziki recipe
holandske-kysnute-palacinky;Holandské kysnuté palacinky;Príloha;Pancakes;TheMealDB;https://www.themealdb.com/meal/52854;;;overené (API);
hovadzi-burger-mcpulitzer;Hovädzí burger McPulitzer;Hlavné jedlo;Classic Beef Burger;BBC Good Food;;;;dohľadať;bbcgoodfoodme.com ultimate beef burger recipe
hovadzi-hamburger-ala-jamie;Hovädzí hamburger ala Jamie;Hlavné jedlo;Classic Beef Burger;BBC Good Food;;;;dohľadať;bbcgoodfoodme.com ultimate beef burger recipe
hovadzi-hamburger-s-domacou-zemlou;Hovädzí hamburger s domácou žemľou;Hlavné jedlo;Classic Beef Burger;BBC Good Food;;;;dohľadať;bbcgoodfoodme.com ultimate beef burger recipe
hovadzie-lasagne;Hovädzie lasagne;Hlavné jedlo;Classic lasagne;BBC Good Food;https://www.bbcgoodfoodme.com/recipes/classic-lasagne/;6;580;overené;
hovadzie-zadne-s-hlivou-a-kari-korenim;Hovädzie zadné s hlivou a kari korením;Hlavné jedlo;Easy chicken curry;BBC Good Food;https://www.bbcgoodfoodme.com/recipes/easy-chicken-curry/;4;354;overené;
hrube-rezance-s-rukolovym-pestom;Hrubé rezance s rukolovým pestom;Cestoviny;Classic pesto;BBC Good Food;https://www.bbcgoodfoodme.com/recipes/classic-pesto/;;;overené (kcal na stránke chýba);
indicka-vajecna-omeleta;Indická vaječná omeleta;Raňajky;French Omelette;TheMealDB;https://www.themealdb.com/meal/52915;;;overené (API);
indonezska-omeleta;Indonézska omeleta;Raňajky;French Omelette;TheMealDB;https://www.themealdb.com/meal/52915;;;overené (API);
jablkovo-skoricove-palacinky;Jablkovo-škoricové palacinky;Raňajky;Pancakes;TheMealDB;https://www.themealdb.com/meal/52854;;;overené (API);
jablkovo-skoricovy-crumble;Jablkovo-škoricový crumble;Dezert;Apple Crumble;BBC Good Food;;;;dohľadať;bbcgoodfoodme.com apple crumble recipe
jahodovo-bananove-smoothie;Jahodovo-banánové smoothie;Nápoj;Fruit Smoothie;BBC Good Food;;;;dohľadať;bbcgoodfoodme.com berry smoothie recipe
jahodovo-hruskove-smoothie-s-bazalkou;Jahodovo-hruškové smoothie s bazalkou;Snack;Fruit Smoothie;BBC Good Food;;;;dohľadať;bbcgoodfoodme.com berry smoothie recipe
jahodovy-cheesecake-bez-pecenia;Jahodový cheesecake bez pečenia;Dezert;New York Cheesecake;TheMealDB;https://www.themealdb.com/meal/52858;;;overené (API);
jarna-plnena-tortilla;Jarná plnená tortilla;Hlavné jedlo;Spanish Tortilla;TheMealDB;https://www.themealdb.com/meal/52872;;;overené (API);
jarne-rizoto-s-hraskom-a-bylinkovym-olejom;Jarné rizoto s hráškom a bylinkovým olejom;Hlavné jedlo;Mushroom risotto;BBC Good Food;https://www.bbcgoodfoodme.com/recipes/mushroom-risotto/;4;445;overené;
jednoduche-croissanty;Jednoduché croissanty;Pečivo;Croissants;BBC Good Food;;;;dohľadať;bbcgoodfoodme.com croissant recipe
kari-kokosova-polievka-so-zeleninou;Karí kokosová polievka so zeleninou;Polievka;Easy chicken curry;BBC Good Food;https://www.bbcgoodfoodme.com/recipes/easy-chicken-curry/;4;354;overené;
kari-kuraci-salat;Karí kurací šalát;Šalát;Easy chicken curry;BBC Good Food;https://www.bbcgoodfoodme.com/recipes/easy-chicken-curry/;4;354;overené;
kavove-smoothie-s-bananom;Kávové smoothie s banánom;Nápoj;Fruit Smoothie;BBC Good Food;;;;dohľadať;bbcgoodfoodme.com berry smoothie recipe
kokosove-muffiny-hrncekove;Kokosové muffiny hrnčekové;Raňajky;Basic muffin recipe;BBC Good Food;https://www.bbcgoodfoodme.com/recipes/basic-muffin-recipe/;12;205;overené;
kuraci-salat-a-la-caesar-s-parmezanovymi-cipsami;Kurací šalát à la Caesar s parmezánovými čipsami;Šalát;Caesar Salad;BBC Good Food;;;;dohľadať;bbcgoodfoodme.com caesar salad recipe
kuracie-curry-so-sosovicou;Kuracie curry so šošovicou;Hlavné jedlo;Easy chicken curry;BBC Good Food;https://www.bbcgoodfoodme.com/recipes/easy-chicken-curry/;4;354;overené;
kuracie-kari;Kuracie karí;Hlavné jedlo;Easy chicken curry;BBC Good Food;https://www.bbcgoodfoodme.com/recipes/easy-chicken-curry/;4;354;overené;
kuracie-masko-so-smotanou-a-kari;Kuracie mäsko so smotanou a karí;Hlavné jedlo;Easy chicken curry;BBC Good Food;https://www.bbcgoodfoodme.com/recipes/easy-chicken-curry/;4;354;overené;
kuracie-na-kokosovom-kari-so-spenatom;Kuracie na kokosovom kari so špenátom;Hlavné jedlo;Easy chicken curry;BBC Good Food;https://www.bbcgoodfoodme.com/recipes/easy-chicken-curry/;4;354;overené;
kuracie-prsia-s-ratatouille;Kuracie prsia s ratatouille;Hlavné jedlo;Ratatouille;TheMealDB;https://www.themealdb.com/meal/52908;;;overené (API);
kuracina-v-palacinke;Kuracina v palacinke;Hlavné jedlo;Pancakes;TheMealDB;https://www.themealdb.com/meal/52854;;;overené (API);
kuskusovy-salat-so-zeleninou;Kuskusový šalát so zeleninou;Šalát;Couscous salad;BBC Good Food;https://www.bbcgoodfoodme.com/recipes/couscous-salad/;4;460;overené;
lahodny-hamburger-so-slaninou-a-syrom;Lahodný hamburger so slaninou a syrom;Hlavné jedlo;Classic Beef Burger;BBC Good Food;;;;dohľadať;bbcgoodfoodme.com ultimate beef burger recipe
lasagne-bolognese;Lasagne bolognese;Cestoviny;Spaghetti Bolognese;TheMealDB;https://www.themealdb.com/meal/52770;;;overené (API);
lasagne-s-mletym-masom-a-zeleninou;Lasagne s mletým mäsom a zeleninou;Hlavné jedlo;Classic lasagne;BBC Good Food;https://www.bbcgoodfoodme.com/recipes/classic-lasagne/;6;580;overené;
lasagne-s-tvarohom;Lasagne s tvarohom;Hlavné jedlo;Classic lasagne;BBC Good Food;https://www.bbcgoodfoodme.com/recipes/classic-lasagne/;6;580;overené;
lasagne-so-zeleninou;Zapekané lasagne so zeleninou;Cestoviny;Classic lasagne;BBC Good Food;https://www.bbcgoodfoodme.com/recipes/classic-lasagne/;6;580;overené;
levy-emericky-hamburger;Ľevy emericky hamburger;Snack;Classic Beef Burger;BBC Good Food;;;;dohľadať;bbcgoodfoodme.com ultimate beef burger recipe
makovo-malinove-muffiny;Makovo-malinové muffiny;Snack;Basic muffin recipe;BBC Good Food;https://www.bbcgoodfoodme.com/recipes/basic-muffin-recipe/;12;205;overené;
malinove-muffiny;Malinové muffiny;Dezert;Basic muffin recipe;BBC Good Food;https://www.bbcgoodfoodme.com/recipes/basic-muffin-recipe/;12;205;overené;
malinove-smoothie;Malinové smoothie;Nápoj;Fruit Smoothie;BBC Good Food;;;;dohľadať;bbcgoodfoodme.com berry smoothie recipe
mandlove-kari-s-baby-kukurickami;Mandľové karí s baby kukuričkami;Hlavné jedlo;Easy chicken curry;BBC Good Food;https://www.bbcgoodfoodme.com/recipes/easy-chicken-curry/;4;354;overené;
mandlovo-cucoriedkove-smoothie;Mandľovo-čučoriedkové smoothie;Nápoj;Fruit Smoothie;BBC Good Food;;;;dohľadať;bbcgoodfoodme.com berry smoothie recipe
mangoldova-omeleta;Mangoldová omeleta;Raňajky;French Omelette;TheMealDB;https://www.themealdb.com/meal/52915;;;overené (API);
marocke-kuracie-s-kuskusom;Marocké kuracie s kuskusom a sušeným ovocím;Hlavné jedlo;Couscous salad;BBC Good Food;https://www.bbcgoodfoodme.com/recipes/couscous-salad/;4;460;overené;
medvedie-pesto;Medvedie pesto;Nátierka;Classic pesto;BBC Good Food;https://www.bbcgoodfoodme.com/recipes/classic-pesto/;;;overené (kcal na stránke chýba);
melonove-smoothie;Melónové smoothie;Nápoj;Fruit Smoothie;BBC Good Food;;;;dohľadať;bbcgoodfoodme.com berry smoothie recipe
morcaci-hamburger;Morčací hamburger;Hlavné jedlo;Classic Beef Burger;BBC Good Food;;;;dohľadať;bbcgoodfoodme.com ultimate beef burger recipe
morcacie-kari;Morčacie kari;Hlavné jedlo;Easy chicken curry;BBC Good Food;https://www.bbcgoodfoodme.com/recipes/easy-chicken-curry/;4;354;overené;
morciacie-fasirky-v-kari-omacke;Morčacie fašírky v kari omáčke;Hlavné jedlo;Easy chicken curry;BBC Good Food;https://www.bbcgoodfoodme.com/recipes/easy-chicken-curry/;4;354;overené;
musaka-na-moj-sposob-fotorecept;Musaka na môj spôsob /fotorecept/;Hlavné jedlo;Moussaka;TheMealDB;https://www.themealdb.com/meal/53006;;;overené (API);
mushroom-risotto;Mushroom Risotto;Hlavné jedlo;Mushroom risotto;BBC Good Food;https://www.bbcgoodfoodme.com/recipes/mushroom-risotto/;4;445;overené;
omeleta-s-dzemom;Omeleta s džemom;Hlavné jedlo;French Omelette;TheMealDB;https://www.themealdb.com/meal/52915;;;overené (API);
omeleta-so-syrom-a-sunkou;Omeleta so syrom a šunkou;Raňajky;French Omelette;TheMealDB;https://www.themealdb.com/meal/52915;;;overené (API);
paella-ako-si-ju-robime-doma;Paella, ako si ju robíme doma;Hlavné jedlo;Paella;TheMealDB;https://www.themealdb.com/meal/53151;;;overené (API);
paella-so-zeleninou-a-kuracim-masom;Paella so zeleninou a kuracím mäsom;Hlavné jedlo;Paella;TheMealDB;https://www.themealdb.com/meal/53151;;;overené (API);
palacinky-s-pribinacikom;Palacinky s pribináčikom;Snack;Pancakes;TheMealDB;https://www.themealdb.com/meal/52854;;;overené (API);
panini-kurca-pesto-mozzarella;Panini s kurčaťom a pestom;Raňajky;Classic pesto;BBC Good Food;https://www.bbcgoodfoodme.com/recipes/classic-pesto/;;;overené (kcal na stránke chýba);
paradajkove-pesto;Paradajkové pesto;Nátierka;Classic pesto;BBC Good Food;https://www.bbcgoodfoodme.com/recipes/classic-pesto/;;;overené (kcal na stránke chýba);
penne-s-bazalkovym-pestom;Penne s bazalkovým pestom;Cestoviny;Classic pesto;BBC Good Food;https://www.bbcgoodfoodme.com/recipes/classic-pesto/;;;overené (kcal na stránke chýba);
pizza-cesto-domace;Domáce pizza cesto;Pečivo;Pizza Dough;BBC Good Food;;;;dohľadať;bbcgoodfoodme.com pizza dough recipe
pizza-hawai;Pizza Hawai;Hlavné jedlo;Pizza Express Margherita;TheMealDB;https://www.themealdb.com/meal/53014;;;overené (API);
pizza-margherita;Pizza Margherita;Hlavné jedlo;Pizza Express Margherita;TheMealDB;https://www.themealdb.com/meal/53014;;;overené (API);
pizza-rezne;Pizza rezne;Hlavné jedlo;Pizza Express Margherita;TheMealDB;https://www.themealdb.com/meal/53014;;;overené (API);
pizza-sunkova-prosciutto;Pizza s prosciuttom a rukolou;Hlavné jedlo;Pizza Express Margherita;TheMealDB;https://www.themealdb.com/meal/53014;;;overené (API);
pizza-tuniakova;Pizza s tuniakom a cibuľou;Hlavné jedlo;Pizza Express Margherita;TheMealDB;https://www.themealdb.com/meal/53014;;;overené (API);
pizza-vegetariana;Pizza vegetariana;Hlavné jedlo;Pizza Express Margherita;TheMealDB;https://www.themealdb.com/meal/53014;;;overené (API);
priloha-kuskus;Kuskus;Príloha;Couscous salad;BBC Good Food;https://www.bbcgoodfoodme.com/recipes/couscous-salad/;4;460;overené;
ranajkovy-burrito;Raňajkový burrito;Raňajky;Beef Burrito;TheMealDB;;;;dohľadať;bbcgoodfoodme.com beef burrito recipe
rezance-s-kuracim-masom-v-kari-omacke;Rezance s kuracím mäsom v kari omáčke;Cestoviny;Easy chicken curry;BBC Good Food;https://www.bbcgoodfoodme.com/recipes/easy-chicken-curry/;4;354;overené;
rizoto;Rizoto;Hlavné jedlo;Mushroom risotto;BBC Good Food;https://www.bbcgoodfoodme.com/recipes/mushroom-risotto/;4;445;overené;
rybacia-kari-polievka;Rybacia karí polievka;Polievka;Easy chicken curry;BBC Good Food;https://www.bbcgoodfoodme.com/recipes/easy-chicken-curry/;4;354;overené;
salat-z-cerveneho-zelia-coleslaw;Šalát z červeného zelia (coleslaw);Šalát;Classic coleslaw;BBC Good Food;https://www.bbcgoodfoodme.com/recipes/classic-coleslaw/;10;178;overené;
sampinonova-polievka-s-kari;Šampiňónová polievka s karí korením;Polievka;Easy chicken curry;BBC Good Food;https://www.bbcgoodfoodme.com/recipes/easy-chicken-curry/;4;354;overené;
shoyu-ramen;Shoyu Ramen;Polievka;Ramen Noodles with Boiled Egg;TheMealDB;https://www.themealdb.com/meal/53383;;;overené (API);
shx-burger;SHX burger;Hlavné jedlo;Classic Beef Burger;BBC Good Food;;;;dohľadať;bbcgoodfoodme.com ultimate beef burger recipe
slane-croissanty-so-sunkou-a-syrom;Slané croissanty so šunkou a syrom;Pečivo;Croissants;BBC Good Food;;;;dohľadať;bbcgoodfoodme.com croissant recipe
slane-muffiny-syr-slanina;Slané muffiny so syrom a slaninou;Pečivo;Basic muffin recipe;BBC Good Food;https://www.bbcgoodfoodme.com/recipes/basic-muffin-recipe/;12;205;overené;
snack-hummus-zelenina;Hummus so zeleninou;Snack;Hummus;TheMealDB;https://www.themealdb.com/meal/53269;;;overené (API);
snack-mrkva-hummus;Mrkva s hummusom;Snack;Hummus;TheMealDB;https://www.themealdb.com/meal/53269;;;overené (API);
sojove-rezance-s-kari;Sójové rezance s karí;Hlavné jedlo;Easy chicken curry;BBC Good Food;https://www.bbcgoodfoodme.com/recipes/easy-chicken-curry/;4;354;overené;
sopsky-salat-s-domacimi-pizza-tycinkami;Šopský šalát s domácimi pizza tyčinkami;Šalát;Shopska Salad;TheMealDB;https://www.themealdb.com/meal/53491;;;overené (API);
sosovicova-polievka-s-kari;Šošovicová polievka s karí korením;Polievka;Easy chicken curry;BBC Good Food;https://www.bbcgoodfoodme.com/recipes/easy-chicken-curry/;4;354;overené;
spagety-bolognese;Špagety bolognese;Hlavné jedlo;Spaghetti Bolognese;TheMealDB;https://www.themealdb.com/meal/52770;;;overené (API);
spanielska-omeleta;Španielska omeleta;Raňajky;French Omelette;TheMealDB;https://www.themealdb.com/meal/52915;;;overené (API);
spenatove-pesto;Špenátové pesto;Nátierka;Classic pesto;BBC Good Food;https://www.bbcgoodfoodme.com/recipes/classic-pesto/;;;overené (kcal na stránke chýba);
spenatovy-quiche;Špenátový quiche;Hlavné jedlo;Quiche Lorraine;BBC Good Food;https://www.bbcgoodfoodme.com/recipes/quiche-lorraine/;6;588;overené;
stavnate-hovadzie-muffiny;Šťavnaté hovädzie muffiny;Hlavné jedlo;Basic muffin recipe;BBC Good Food;https://www.bbcgoodfoodme.com/recipes/basic-muffin-recipe/;12;205;overené;
sushi-losos-maki;Losos maki (sushi rolky);Hlavné jedlo;Sushi;TheMealDB;https://www.themealdb.com/meal/53065;;;overené (API);
tekvicove-rizoto-s-kuracim-masom;Tekvicové rizoto s kuracím mäsom;Hlavné jedlo;Mushroom risotto;BBC Good Food;https://www.bbcgoodfoodme.com/recipes/mushroom-risotto/;4;445;overené;
teply-kuskusovy-salat-s-fazulou-a-cerstvou-matou;Teplý kuskusový šalát s fazuľou a čerstvou mätou;Cestoviny;Couscous salad;BBC Good Food;https://www.bbcgoodfoodme.com/recipes/couscous-salad/;4;460;overené;
tofu-kari-so-zeleninou;Tofu kari so zeleninou;Hlavné jedlo;Easy chicken curry;BBC Good Food;https://www.bbcgoodfoodme.com/recipes/easy-chicken-curry/;4;354;overené;
tvarohove-palacinky;Tvarohové palacinky;Raňajky;Pancakes;TheMealDB;https://www.themealdb.com/meal/52854;;;overené (API);
vajecne-muffiny-so-zeleninou;Vaječné muffiny so zeleninou;Raňajky;Basic muffin recipe;BBC Good Food;https://www.bbcgoodfoodme.com/recipes/basic-muffin-recipe/;12;205;overené;
vegetarianska-musaka-so-sosovicou;Vegetariánska musaka so šošovicou;Hlavné jedlo;Moussaka;TheMealDB;https://www.themealdb.com/meal/53006;;;overené (API);
vonave-jesenne-jablkove-muffiny;Voňavé jesenné jablkové muffiny;Raňajky;Basic muffin recipe;BBC Good Food;https://www.bbcgoodfoodme.com/recipes/basic-muffin-recipe/;12;205;overené;
vyborne-lasagne;Výborné lasagne;Hlavné jedlo;Classic lasagne;BBC Good Food;https://www.bbcgoodfoodme.com/recipes/classic-lasagne/;6;580;overené;
zdrave-vafle;Zdravé vafle;Raňajky;Waffles;BBC Good Food;;;;dohľadať;bbcgoodfoodme.com waffle recipe
zeleninova-pizza-z-psena;Zeleninová pizza z pšena;Hlavné jedlo;Pizza Express Margherita;TheMealDB;https://www.themealdb.com/meal/53014;;;overené (API);
zeleninove-rizoto-s-tempehom;Zeleninové rizoto s tempehom;Hlavné jedlo;Mushroom risotto;BBC Good Food;https://www.bbcgoodfoodme.com/recipes/mushroom-risotto/;4;445;overené;
zeleninovy-quiche;Zeleninový quiche;Hlavné jedlo;Quiche Lorraine;BBC Good Food;https://www.bbcgoodfoodme.com/recipes/quiche-lorraine/;6;588;overené;
zeleny-smoothie-s-uhorkou;Zelený smoothie s uhorkou;Nápoj;Fruit Smoothie;BBC Good Food;;;;dohľadať;bbcgoodfoodme.com berry smoothie recipe
zemle-na-hamburgery;Žemle na hamburgery;Pečivo;Burger Buns;BBC Good Food;;;;dohľadať;bbcgoodfoodme.com burger buns recipe
