id;nazov;kategoria;kuchyna_teraz;kuchyna_navrh;istota;signaly
cokoladove-smoothie-jahody;Čokoládové smoothie s jahodami;Nápoj;Medzinárodná;Americká;stredná;Americká=4 [javorovy sirup] | 2. Mexická=2
cokoladovy-cheesecake;Čokoládový cheesecake;Dezert;Medzinárodná;Americká;stredná;Americká=4 [cheesecak] | 2. Francúzska=2
cokoladovy-hummus;Čokoládový hummus;Dezert;Medzinárodná;Blízkovýchodná;vysoká;Blízkovýchodná=7 [hummus, cicer] | 2. Indická=3
cola-s-citronom;Cola s citrónom;Nápoj;Medzinárodná;Medzinárodná;ponechať;žiadny signál
crepes-s-pecenymi-jablkami-a-kardamomom;Crêpes s pečenými jablkami a kardamómom;Raňajky;Medzinárodná;Medzinárodná;nízka;Turecká=3 [jogurt]
cucoriedkove-energy-gulky;Čučoriedkové energy guľky;Snack;Medzinárodná;Medzinárodná;nízka;Americká=3 [arasidove maslo] | 2. Britská=3
cuketova-polievka;Cuketová polievka;Polievka;Medzinárodná;Grécka;stredná;Grécka=4 [feta] | 2. Talianska=1
cuketova-pomazanka-na-topinky;Cuketová nátierka na hrianky;Nátierka;Medzinárodná;Medzinárodná;nízka;Indická=3 [kari koren] | 2. Ázijská=2
cuketove-hniezda;Cuketové hniezda;Raňajky;Medzinárodná;Medzinárodná;nízka;Mexická=3 [avokado]
cuketove-kulicky;Cuketové kuličky;Snack;Medzinárodná;Medzinárodná;nízka;Grécka=3 [oregano] | 2. Britská=3
cuketove-palacinky;Cuketové palacinky;Príloha;Medzinárodná;Medzinárodná;ponechať;žiadny signál
cuketove-placky;Cuketové placky;Hlavné jedlo;Medzinárodná;Medzinárodná;nízka;Britská=3 [ovsene vlocky]
cviklova-polievka;Cviklová polievka;Polievka;Medzinárodná;Medzinárodná;nízka;Francúzska=2 [smotana] | 2. Talianska=1
cviklovy-salat-s-fetou-a-orechmi;Cviklový šalát s fetou a vlašskými orechmi;Šalát;Medzinárodná;Grécka;vysoká;Grécka=6 [feta, uhork] | 2. Ázijská=3
datlove-muffiny;Datľové muffiny;Dezert;Medzinárodná;Medzinárodná;ponechať;žiadny signál
dip-z-arasidoveho-masla;Dip z arašidového masla;Nátierka;Medzinárodná;Medzinárodná;nízka;Americká=3 [arasidove maslo] | 2. Turecká=3
domace-arasidove-maslo;Domáce arašidové maslo;Nátierka;Medzinárodná;Medzinárodná;nízka;Americká=3 [arasidove maslo]
domaci-smotanovy-syr;Domáci smotanový syr;Nátierka;Medzinárodná;Medzinárodná;nízka;Turecká=3 [jogurt] | 2. Francúzska=2
dusene-musle;Dusené mušle;Hlavné jedlo;Medzinárodná;Medzinárodná;nízka;Francúzska=3 [estragon]
egg-cream-sodovy-napoj-so-sirupom;Egg cream (sódový nápoj so sirupom);Nápoj;Medzinárodná;Medzinárodná;ponechať;žiadny signál
energy-tycinky;Energy tyčinky;Snack;Medzinárodná;Medzinárodná;nízka;Americká=4 [javorovy sirup] | 2. Britská=3
fazulova-kremova-polievka;Fazuľová krémová polievka;Polievka;Medzinárodná;Medzinárodná;nízka;Talianska=3 [pesto] | 2. Slovenská=2
fazulove-karbonatky-orechy-pecena-cakanka;Fazuľové karbonátky s vlašskými orechmi a pečenou čakankou;Hlavné jedlo;Medzinárodná;Medzinárodná;nízka;Indická=4 [ghi] | 2. Ázijská=3
fazulovy-salat-s-cibulou-a-octom;Fazuľový šalát s cibuľou a octom;Šalát;Medzinárodná;Medzinárodná;nízka;Slovenská=3 [klobas]
frose;Frosé;Kokteil;Medzinárodná;Medzinárodná;ponechať;žiadny signál
garlic-butter-shrimp;Garlic Butter Shrimp (cesnakové krevety);Hlavné jedlo;Medzinárodná;Medzinárodná;nízka;Francúzska=2 [smotana] | 2. Talianska=1
granola-s-mandlovym-maslom;Granola s mandľovým maslom;Raňajky;Medzinárodná;Medzinárodná;nízka;Britská=3 [ovsene vlocky]
gravlax-s-cervenou-repou;Gravlax s červenou repou;Snack;Medzinárodná;Medzinárodná;ponechať;žiadny signál
grilovane-sampinony-portobello;Grilované šampiňóny portobello;Príloha;Medzinárodná;Medzinárodná;nízka;Americká=4 [burger] | 2. Talianska=3
gumovi-medvidci-bez-cukru;Gumové medvedíky bez cukru;Snack;Medzinárodná;Americká;stredná;Americká=4 [javorovy sirup]
hit-n-run-pecene-kura;Hit 'n' run pečené kura (traybake);Hlavné jedlo;Medzinárodná;Medzinárodná;nízka;Talianska=3 [balzamik, olivovy olej] | 2. Španielska=3
horuca-cokolada-so-skoricou;Horúca čokoláda so škoricou;Nápoj;Medzinárodná;Medzinárodná;ponechať;žiadny signál
horuca-cokolada-so-smotanou;Horúca čokoláda so smotanou;Nápoj;Medzinárodná;Medzinárodná;ponechať;žiadny signál
hovadzia-natierka-na-hrianky;Nátierka na hrianky;Nátierka;Medzinárodná;Medzinárodná;nízka;Talianska=1 [olivovy olej]
hrachova-polievka-s-mrkvou;Hrachová polievka s mrkvou;Polievka;Medzinárodná;Medzinárodná;ponechať;žiadny signál
hraskove-pyre-peceny-losos-chlieb;Hráškové pyré a pečený losos na celozrnnom chlebe;Raňajky;Medzinárodná;Medzinárodná;nízka;Turecká=3 [jogurt]
hraskovy-krem;Hráškový krém;Polievka;Medzinárodná;Medzinárodná;nízka;Mexická=2 [limetk] | 2. Francúzska=2
hubova-kremova-polievka;Hubová krémová polievka;Polievka;Medzinárodná;Medzinárodná;nízka;Francúzska=2 [smotana] | 2. Slovenská=2
hubova-polievka;Hubová polievka;Polievka;Medzinárodná;Medzinárodná;ponechať;žiadny signál
hubove-pate;Hubové paté;Nátierka;Medzinárodná;Medzinárodná;ponechať;žiadny signál
jablckova-granola;Jablčková granola;Raňajky;Medzinárodná;Medzinárodná;ponechať;žiadny signál
jablcne-muffiny-z-pecenych-jablk-s-drobenkou;Jablčné muffiny z pečených jabĺk s drobenkou;Dezert;Medzinárodná;Medzinárodná;nízka;Talianska=3 [ricotta]
jablecne-smoothie-mata-limetka;Jablčné smoothie s mätou a limetkou;Nápoj;Medzinárodná;Medzinárodná;nízka;Turecká=3 [mata] | 2. Mexická=2
jablkove-vafle;Jablkové vafle;Raňajky;Medzinárodná;Medzinárodná;nízka;Turecká=3 [jogurt] | 2. Grécka=2
jablkovo-skoricove-palacinky;Jablkovo-škoricové palacinky;Raňajky;Medzinárodná;Medzinárodná;ponechať;žiadny signál
jahlovy-salat-pazitkovy-dresing;Jáhlový salát s pažítkovým dresingom;Šalát;Medzinárodná;Mexická;stredná;Mexická=5 [avokado, limetk] | 2. Talianska=3
jahodova-chia-marmelada;Jahodová chia marmeláda;Nátierka;Medzinárodná;Medzinárodná;ponechať;žiadny signál
jahodova-pena;Jahodová pena;Dezert;Medzinárodná;Medzinárodná;nízka;Francúzska=2 [smotana]
jahodove-nanuky-s-chia-semienkami;Jahodové nanuky s chia semienkami;Dezert;Medzinárodná;Medzinárodná;nízka;Slovenská=3 [tvaroh]
jahodovo-bananove-smoothie;Jahodovo-banánové smoothie;Nápoj;Medzinárodná;Medzinárodná;nízka;Britská=3 [ovsene vlocky]
jahodovo-jablkovy-chladeny-napoj;Jahodovo-jablkový chladený nápoj;Nápoj;Medzinárodná;Medzinárodná;ponechať;žiadny signál
jahodovy-frozen-jogurt;Jahodový frozen jogurt;Dezert;Medzinárodná;Medzinárodná;nízka;Turecká=3 [jogurt] | 2. Grécka=2
jahodovy-puding;Jahodový puding;Dezert;Medzinárodná;Medzinárodná;ponechať;žiadny signál
jednohubky-tortilla-losos;Jednohubky z tortilly a údeného lososa;Snack;Medzinárodná;Mexická;vysoká;Mexická=7 [tortill, avokado]
jogurtovy-chladeny-napoj;Jogurtový chladený nápoj;Nápoj;Medzinárodná;Medzinárodná;nízka;Turecká=3 [jogurt]
kakaove-gulky-do-mlieka;Kakaové guľky do mlieka;Dezert;Medzinárodná;Medzinárodná;ponechať;žiadny signál
kakaove-lievance-zo-smotanoveho-syra;Kakaové lievance zo smotanového syra;Raňajky;Medzinárodná;Medzinárodná;nízka;Americká=4 [javorovy sirup] | 2. Slovenská=3
kakaovo-kokosova-pena;Kakaovo-kokosová pena;Dezert;Medzinárodná;Medzinárodná;nízka;Ázijská=2 [kokosove mlieko] | 2. Thajská=2
kakaovy-dezert-z-domaceho-smotanoveho-syra;Kakaový dezert z domáceho smotanového syra;Dezert;Medzinárodná;Medzinárodná;ponechať;žiadny signál
kakaovy-krem-s-tofu;Kakaový krém s tofu;Dezert;Medzinárodná;Medzinárodná;nízka;Slovenská=3 [tvaroh]
kanapky-s-hummusom;Kanapky s hummusom;Snack;Medzinárodná;Medzinárodná;nízka;Blízkovýchodná=4 [hummus] | 2. Talianska=3
karfiol-s-cili-a-rozmarinom;Karfiol s čili a rozmarínom;Príloha;Medzinárodná;Medzinárodná;nízka;Ázijská=2 [kokosove mlieko] | 2. Thajská=2
karfiolova-ryza;Karfiolová ryža;Príloha;Medzinárodná;Indická;vysoká;Indická=7 [ghi, kurkuma] | 2. Slovenská=3
karfiolovy-smaziak;Karfiolový smažiak;Hlavné jedlo;Medzinárodná;Talianska;vysoká;Talianska=8 [parmez, mozzarell, bazalka] | 2. Nemecká=4
kavove-ladove-smoothie;Kávové ľadové smoothie (frappé);Nápoj;Medzinárodná;Medzinárodná;ponechať;žiadny signál
kavove-smoothie-s-bananom;Kávové smoothie s banánom;Nápoj;Medzinárodná;Medzinárodná;nízka;Turecká=3 [jogurt]
kiwi-papaya-smoothie;Kiwi Papaya Smoothie;Nápoj;Medzinárodná;Medzinárodná;ponechať;žiadny signál
klobasky-gril-kapia-zemiaky;Klobásky na gril s pečenou kapiou a zemiakmi;Hlavné jedlo;Medzinárodná;Slovenská;stredná;Slovenská=5 [klobas, zemiak] | 2. Talianska=1
kokosove-rezy;Kokosové rezy;Dezert;Medzinárodná;Medzinárodná;nízka;Britská=3 [ovsene vlocky]
kokosove-tycinky-cokolada;Kokosové tyčinky v čokoláde;Dezert;Medzinárodná;Medzinárodná;ponechať;žiadny signál
kokosove-tycinky-s-cokoladou;Kokosové tyčinky s čokoládou;Snack;Medzinárodná;Americká;stredná;Americká=4 [javorovy sirup]
kokosovo-cokoladove-gulky;Kokosovo-čokoládové guľky;Dezert;Medzinárodná;Medzinárodná;nízka;Ázijská=2 [kokosove mlieko] | 2. Thajská=2
kokosovy-karamel;Kokosový karamel;Dezert;Medzinárodná;Medzinárodná;nízka;Ázijská=2 [kokosove mlieko] | 2. Thajská=2
koprovy-dip;Koprový dip;Nátierka;Medzinárodná;Medzinárodná;nízka;Talianska=3 [ricotta] | 2. Mexická=2
krevety-s-chrastom;Krevety s chrasťou;Hlavné jedlo;Medzinárodná;Medzinárodná;nízka;Mexická=2 [kukuric] | 2. Talianska=1
krevety-s-matovo-zemiakovou-kasou;Krevety s mätovo-zemiakovou kašou;Hlavné jedlo;Medzinárodná;Medzinárodná;nízka;Indická=4 [ghi] | 2. Turecká=3
krevety-s-paradajkami;Krevety s paradajkami;Hlavné jedlo;Medzinárodná;Medzinárodná;nízka;Talianska=3 [bazalka, olivovy olej]
krevety-v-horcicovej-omacke;Krevety v horčicovej omáčke;Hlavné jedlo;Medzinárodná;Medzinárodná;nízka;Talianska=3 [mozzarell] | 2. Francúzska=3
kukuricna-placka-s-pomerancovym-tofu-kremom;Kukuričná placka s pomerančovým tofu krémom;Dezert;Medzinárodná;Medzinárodná;nízka;Mexická=2 [kukuric]
kukuricny-dip;Kukuricový dip;Nátierka;Medzinárodná;Medzinárodná;nízka;Mexická=4 [limetk, kukuric] | 2. Turecká=3
kuraci-salat-s-redkovkami;Kurací šalát s reďkovkami;Šalát;Medzinárodná;Medzinárodná;nízka;Francúzska=3 [dijon] | 2. Nemecká=3
kuracia-gnocchi-polievka;Kuracia gnocchi polievka;Polievka;Medzinárodná;Talianska;vysoká;Talianska=6 [parmez, gnocch] | 2. Turecká=3
kuracie-nugetky-v-lieskovych-orieskoch;Kuracie nugetky v lieskových orieškoch;Hlavné jedlo;Medzinárodná;Medzinárodná;ponechať;žiadny signál
kuracie-prsia-plnene-spenatom-a-syrom;Kuracie prsia plnené špenátom a syrom;Hlavné jedlo;Medzinárodná;Medzinárodná;nízka;Francúzska=2 [smotana]
kuracie-prsia-s-chrenovou-quinoou-a-hubami;Kuracie prsia s chrenovou quinoou a hubami;Hlavné jedlo;Medzinárodná;Medzinárodná;ponechať;žiadny signál
kuracie-prsia-so-smotanovou-omackou;Kuracie prsia so smotanovou omáčkou;Hlavné jedlo;Medzinárodná;Medzinárodná;nízka;Mexická=2 [limetk] | 2. Francúzska=2
kuracie-rolky;Kuracie rolky;Hlavné jedlo;Medzinárodná;Medzinárodná;nízka;Talianska=1 [olivovy olej]
lahsi-egg-nog;Ľahší egg nog;Kokteil;Medzinárodná;Medzinárodná;ponechať;žiadny signál
lassi-khara-slane-indicke-lassi;Lassi khara (slané indické lassi);Nápoj;Medzinárodná;Medzinárodná;nízka;Turecká=3 [jogurt]
lieskovooriskovy-krem;Lieskovoorieškový krém;Nátierka;Medzinárodná;Medzinárodná;ponechať;žiadny signál
losos-s-makovou-krustou;Losos s makovou krustou;Hlavné jedlo;Medzinárodná;Medzinárodná;nízka;Slovenská=3 [mak] | 2. Talianska=1
losos-so-spenatom-a-smotanou;Losos so špenátom a smotanou;Hlavné jedlo;Medzinárodná;Medzinárodná;nízka;Francúzska=2 [smotana]
losos-so-zemiakmi;Losos so zemiakmi;Hlavné jedlo;Medzinárodná;Medzinárodná;nízka;Nemecká=3 [horcica] | 2. Ázijská=2
losos-tatar;Losos tatár;Hlavné jedlo;Medzinárodná;Medzinárodná;nízka;Nemecká=3 [horcica]
malinove-smoothie;Malinové smoothie;Nápoj;Medzinárodná;Medzinárodná;nízka;Ázijská=2 [kokosove mlieko] | 2. Thajská=2
malinovy-parfait;Malinový parfait;Dezert;Medzinárodná;Medzinárodná;nízka;Turecká=3 [jogurt] | 2. Britská=3
mandle-v-cokolade-s-morskou-solou;Mandle v čokoláde s morskou soľou;Snack;Medzinárodná;Medzinárodná;ponechať;žiadny signál
mangovo-pomarancove-smoothie;Mangovo-pomarančové smoothie;Nápoj;Medzinárodná;Medzinárodná;ponechať;žiadny signál
masove-gulky-so-spagetami;Mäsové guľky so špagetami;Cestoviny;Medzinárodná;Medzinárodná;nízka;Talianska=3 [spagety, olivovy olej] | 2. Britská=3
matovo-ovocne-smoothie;Mätovo-ovocné smoothie;Nápoj;Medzinárodná;Medzinárodná;nízka;Turecká=3 [mata]
melonove-smoothie;Melónové smoothie;Nápoj;Medzinárodná;Medzinárodná;ponechať;žiadny signál
melya-espresso-s-medom-a-kakaom;Melya (espresso s medom a kakaom);Nápoj;Medzinárodná;Medzinárodná;ponechať;žiadny signál
mliecna-polievka-s-kukuricou;Mliečna polievka s kukuricou;Polievka;Medzinárodná;Medzinárodná;nízka;Mexická=2 [kukuric] | 2. Slovenská=2
mojito;Mojito;Kokteil;Medzinárodná;Medzinárodná;nízka;Turecká=3 [mata] | 2. Mexická=2
morcacie-s-quinoou;Morčacie s quinoou;Hlavné jedlo;Medzinárodná;Medzinárodná;nízka;Talianska=1 [olivovy olej]
morciacia-zmes-s-cicerom;Morčacia zmes s cícerom;Hlavné jedlo;Medzinárodná;Indická;stredná;Indická=5 [cicer, koriander mlety] | 2. Blízkovýchodná=3
mrkvova-polievka-s-prazenym-cicerom;Mrkvová polievka s praženým cícerom;Polievka;Medzinárodná;Indická;stredná;Indická=5 [cicer, koriander mlety] | 2. Blízkovýchodná=3
mrkvova-rolada;Mrkvová roláda;Dezert;Medzinárodná;Medzinárodná;nízka;Slovenská=3 [tvaroh] | 2. Ázijská=2
mrkvove-hranolky-paprikovy-dip;Mrkvové hranolky s paprikovým dipom;Snack;Medzinárodná;Medzinárodná;nízka;Španielska=3 [udena paprika] | 2. Turecká=3
mrkvove-muffiny-s-jogurtovou-polevou;Mrkvové muffiny s jogurtovou polevou;Dezert;Medzinárodná;Medzinárodná;nízka;Turecká=3 [jogurt]
mrkvove-overnight-oats;Mrkvové overnight oats;Raňajky;Medzinárodná;Medzinárodná;nízka;Turecká=3 [jogurt] | 2. Britská=3
mrkvove-placky;Mrkvové placky;Hlavné jedlo;Medzinárodná;Medzinárodná;nízka;Talianska=3 [bazalka, olivovy olej]
natierka-z-pecenej-cvikly-a-orechov;Nátierka z pečenej cvikly a orechov;Nátierka;Medzinárodná;Medzinárodná;nízka;Turecká=3 [jogurt] | 2. Talianska=1
nepeceny-bananovy-kolac;Nepečený banánový koláč;Dezert;Medzinárodná;Americká;vysoká;Americká=7 [javorovy sirup, arasidove maslo] | 2. Mexická=3
oblozene-rozky-sunka-syr;Obložené rožky so šunkou a syrom;Raňajky;(prázdna);Medzinárodná;ponechať;žiadny signál
okurkovy-salat-s-koprom;Uhorkový šalát s kôprom;Šalát;Medzinárodná;Medzinárodná;nízka;Turecká=3 [jogurt] | 2. Grécka=2
olivove-placky;Olivové placky;Príloha;Medzinárodná;Grécka;vysoká;Grécka=8 [olivy, oregano, grecky jogurt] | 2. Talianska=3
omeleta-so-susenymi-paradajkami;Omeleta so sušenými paradajkami;Raňajky;Medzinárodná;Medzinárodná;nízka;Indická=4 [ghi] | 2. Mexická=3
orechove-tycinky;Orechové tyčinky;Snack;Medzinárodná;Medzinárodná;nízka;Britská=3 [ovsene vlocky] | 2. Ázijská=2
ovocie-v-cokolade;Ovocie v čokoláde;Snack;Medzinárodná;Medzinárodná;nízka;Americká=3 [arasidove maslo]
ovocna-tycinka-domaca;Domáca ovocno-orechová tyčinka;Snack;Medzinárodná;Medzinárodná;ponechať;žiadny signál
ovocny-mriezkovy-kolac;Ovocný mriežkový koláč;Dezert;Medzinárodná;Medzinárodná;ponechať;žiadny signál
ovocny-salat-s-kozim-syrom;Ovocný šalát s kozím syrom;Šalát;Medzinárodná;Medzinárodná;nízka;Talianska=1 [olivovy olej]
ovsena-kasa-cez-noc;Ovsená kaša cez noc;Raňajky;Medzinárodná;Medzinárodná;nízka;Turecká=3 [jogurt] | 2. Britská=3
ovsena-kasa-s-brusnicami-a-orechmi;Ovsená kaša s brusnicami a orechmi;Raňajky;Medzinárodná;Medzinárodná;nízka;Britská=3 [ovsene vlocky]
